asin,domain_id,market,title,new_price,used_price,discount_percent
B0BN5M4D5F,2,UK,,,,
B0BN5NSQNF,2,UK,,,,
B08VK6D4YH,2,UK,,,,
B08G4ZJLHW,2,UK,,,,
B09VFKLG2N,2,UK,,,,
B09K65D68K,2,UK,,,,
B08VK6RPWJ,2,UK,,,,
B07VZ3XKPJ,2,UK,,,,
B09DFQN5D3,2,UK,,,,
B0B75PKX2G,2,UK,,,,
B09NYPFKPX,2,UK,,,,
B09NYNHPVT,2,UK,,,,
B07FZ5GPH3,2,UK,,,,
B08P39WJV2,2,UK,,,,
B09QNLXNVQ,2,UK,,,,
B0913WWVPH,2,UK,,,,
B08JJDZ7R2,2,UK,,,,
B0BKRHHVTL,2,UK,,,,
B083GTF9BR,2,UK,,,,
B0B3QDKN4D,2,UK,,,,
B09NQ5WX6X,2,UK,,,,
B0948RY6XV,2,UK,,,,
B09CGPGQBR,2,UK,,,,
B09P2PNQJP,2,UK,,,,
B09P2MVMBZ,2,UK,,,,
B0BQXL4ZLY,2,UK,,,,
B09YYH4WMP,2,UK,,,,
B0BKRJ4GQS,2,UK,,,,
B0BM3BGMP9,2,UK,,,,
B0BVLV2GZF,2,UK,,,,
B07ZTFHQFP,2,UK,,,,
B07W7VFJTS,2,UK,,,,
B07WRQKQLX,2,UK,,,,
B08HWPMQ2X,2,UK,,,,
B07CWJFNWW,2,UK,,,,
B097NZD9T1,2,UK,,,,
B09B3W2P7T,2,UK,,,,
B08HZRR6MN,2,UK,,,,
B08HZQ7R2S,2,UK,,,,
B01E8KO2B0,2,UK,,,,
B07WGFC44F,4,FR,,,,
B01N4FXKH5,4,FR,,,,
B003ELVLKU,4,FR,,,,
B07QKD9V4F,4,FR,,,,
B07FWHKJXH,4,FR,,,,
B08CVY5G6Q,4,FR,,,,
B08CRDDXDC,4,FR,,,,
B08DTGCKKX,4,FR,,,,
B0B3QDNV44,4,FR,,,,
B09QX3PLWB,4,FR,,,,
B09F3Z8P3B,4,FR,,,,
B07CMQF9C7,4,FR,,,,
B09MTYZBXF,4,FR,,,,
B0B7NQHTSB,4,FR,,,,
B09TPJQ8GV,4,FR,,,,
B07C7DTGMF,4,FR,,,,
B07R7FFVG4,4,FR,,,,
B0BG9XFMC4,4,FR,,,,
B0BKRGMKM1,4,FR,,,,
B09ZVB8VKQ,4,FR,,,,
B07KQL9C1H,4,FR,,,,
B07YN2F4ZF,4,FR,,,,
B08R1MHS9C,4,FR,,,,
B09Y7J1ZLQ,4,FR,,,,
B09MLKZP8K,4,FR,,,,
B09MTYXNWK,4,FR,,,,
B0BHM5VP6C,4,FR,,,,
B0CKWQXMQJ,4,FR,,,,
B0BRDCT46B,4,FR,,,,
B0BRDBT7PR,4,FR,,,,
B0BRDDK8TW,4,FR,,,,
B0BRD9XTXR,4,FR,,,,
B09CGHTB5N,4,FR,,,,
B0B4Y2MYVJ,4,FR,,,,
B07Y5VFXZL,4,FR,,,,
B08H97NYGJ,4,FR,,,,
B09B9KCP8Y,4,FR,,,,
B08R3LH8BF,4,FR,,,,
B0C1XZV9YF,4,FR,,,,
B0BWZQJ5KW,4,FR,,,,
B009EOZ41Y,4,FR,,,,
B00VBGT00Q,4,FR,,,,
B007VDPID6,4,FR,,,,
B014EUQOGK,4,FR,,,,
B00ZK4RK3K,4,FR,,,,
B082TN5P76,4,FR,,,,
B08STKPTJ8,4,FR,,,,
B09K4ZYWKZ,4,FR,,,,
B0B9ZK5M5W,4,FR,,,,
B00FVKLR42,4,FR,,,,
B079PRXQPL,4,FR,,,,
B0187CKZVE,4,FR,,,,
B00XBGG62Y,4,FR,,,,
B06XKNR8LJ,4,FR,,,,
B07PMBHH1D,4,FR,,,,
B07PM9HWK1,4,FR,,,,
B0794WQSPS,4,FR,,,,
B07PM8T4Y1,4,FR,,,,
B00VBGT0J6,4,FR,,,,
B0814FXW5G,4,FR,,,,
