asin,title,price,market,keyword,scraped_at
B0042BZWHE,"12,80 €
12
,
80€",,IT,tastiera qwertz,2026-02-19T20:40:50.713910+00:00
B07DKJKM4T,"33,13 €
33
,
13€",,IT,tastiera qwertz,2026-02-19T20:40:50.731628+00:00
B0FPFPWJDB,"53,24 €
53
,
24€",,IT,tastiera qwertz,2026-02-19T20:40:50.748490+00:00
B0FNRM865K,"84,14 €
84
,
14€",,IT,tastiera qwertz,2026-02-19T20:40:50.766064+00:00
B0CQKMKPZW,"42,49 €
42
,
49€",,IT,tastiera qwertz,2026-02-19T20:40:50.783267+00:00
B0DGTK68JW,"39,99 €
39
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.592616+00:00
B07W7MQMDH,"49,39 €
49
,
39€",,IT,tastiera meccanica,2026-02-19T20:40:55.638954+00:00
B0B4VZW3BY,"23,54 €
23
,
54€",,IT,tastiera meccanica,2026-02-19T20:40:55.655546+00:00
B0D9ZQH9TK,"59,99 €
59
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.671408+00:00
B0851CN3GC,"19,99 €
19
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.688824+00:00
B0CYTB34XC,"59,99 €
59
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.704937+00:00
B07W7N38X8,"76,49 €
76
,
49€",,IT,tastiera meccanica,2026-02-19T20:40:55.723455+00:00
B09JGB2XK7,"29,99 €
29
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.741342+00:00
B0CQLN55LZ,"50,14 €
50
,
14€",,IT,tastiera meccanica,2026-02-19T20:40:55.758240+00:00
B0DQVHP2WH,"49,99 €
49
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.774143+00:00
B08DG47ML4,"10,99 €
10
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.791594+00:00
B0CSYRHRJ6,"10,99 €
10
,
99€",,IT,tastiera meccanica,2026-02-19T20:40:55.809624+00:00
B07W5JJP7D,"85,00 €
85
,
00€",,IT,tastiera meccanica,2026-02-19T20:40:55.825903+00:00
B0DPRNP35D,"46,79 €
46
,
79€",,IT,tastiera meccanica,2026-02-19T20:40:55.845177+00:00
B0CM64HVKQ,"47,49 €
47
,
49€",,IT,tastiera meccanica,2026-02-19T20:40:55.862745+00:00
B0DFXWQWB8,"99,95 €
99
,
95€",,IT,tastiera meccanica,2026-02-19T20:40:55.879017+00:00
B0F48L5MVC,"33,99 €
33
,
99€",,IT,tastiera layout tedesco,2026-02-19T20:41:00.830270+00:00
B0FKVBZ2PD,"44,99 €
44
,
99€",,IT,tastiera layout tedesco,2026-02-19T20:41:00.851986+00:00
B09SFS4WQS,"32,99 €
32
,
99€",,IT,tastiera layout tedesco,2026-02-19T20:41:00.874959+00:00
B0C3VMY393,"69,97 €
69
,
97€",,IT,tastiera layout tedesco,2026-02-19T20:41:00.897052+00:00
B00BCE30RS,"32,39 €
32
,
39€",,IT,tastiera layout tedesco,2026-02-19T20:41:01.052469+00:00
B01AUGT964,"43,99 €
43
,
99€",,IT,tastiera layout tedesco,2026-02-19T20:41:01.110947+00:00
B0DM6JVVJR,"25,38 €
25
,
38€",,IT,tastiera layout tedesco,2026-02-19T20:41:01.131630+00:00
B072KJDCL8,"46,58 €
46
,
58€",,IT,tastiera layout tedesco,2026-02-19T20:41:01.191752+00:00
B0DSZQK42Y,"68,99 €
68
,
99€",,IT,tastiera layout tedesco,2026-02-19T20:41:01.269059+00:00
B08T1PLFC7,"20,49 €
20
,
49€",,IT,tastiera layout tedesco,2026-02-19T20:41:01.290288+00:00
B07FHTJC1G,"59,99 €
59
,
99€",,ES,teclado qwertz,2026-02-19T20:41:07.833527+00:00
B0DJ6PCW72,"49,99 €
49
,
99€",,ES,teclado qwertz,2026-02-19T20:41:07.851723+00:00
B07F59BY7L,"79,99 €
79
,
99€",,ES,teclado qwertz,2026-02-19T20:41:07.868512+00:00
B01AUGT964,N/A,,ES,teclado qwertz,2026-02-19T20:41:07.877634+00:00
B08DG4C63H,"10,99 €
10
,
99€",,ES,teclado qwertz,2026-02-19T20:41:07.894611+00:00
B0D1G1P4T5,"19,99 €
19
,
99€",,ES,teclado qwertz,2026-02-19T20:41:07.909410+00:00
B00VHHWNMI,"31,94 €
31
,
94€",,ES,teclado qwertz,2026-02-19T20:41:07.924830+00:00
B08KWBJCNM,"12,10 €
12
,
10€",,ES,teclado qwertz,2026-02-19T20:41:07.940147+00:00
B0072AEZJI,"23,41 €
23
,
41€",,ES,teclado qwertz,2026-02-19T20:41:07.958018+00:00
B07W7K29YM,"33,99 €
33
,
99€",,ES,teclado qwertz,2026-02-19T20:41:07.987165+00:00
B0CPM1TB52,"24,99 €
24
,
99€",,ES,teclado qwertz,2026-02-19T20:41:08.023417+00:00
B0F5GLYP96,"29,00 €
29
,
00€",,ES,teclado qwertz,2026-02-19T20:41:08.070022+00:00
B072KJDCL8,"40,90 €
40
,
90€",,ES,teclado qwertz,2026-02-19T20:41:08.110547+00:00
B0DK9S97CG,"24,20 €
24
,
20€",,ES,teclado qwertz,2026-02-19T20:41:08.137166+00:00
B0CPMBBMW1,N/A,,ES,teclado qwertz,2026-02-19T20:41:08.148232+00:00
B07GXXC451,"19,99 €
19
,
99€",,ES,teclado qwertz,2026-02-19T20:41:08.168677+00:00
B0BHYRG6V8,"34,99 €
34
,
99€",,ES,teclado qwertz,2026-02-19T20:41:08.184508+00:00
B0FM8C8M7G,"31,41 €
31
,
41€",,ES,teclado qwertz,2026-02-19T20:41:08.200505+00:00
B0DGTKTY75,"39,99 €
39
,
99€",,ES,teclado qwertz,2026-02-19T20:41:08.215631+00:00
B0B4W52FN5,"28,25 €
28
,
25€",,ES,teclado mecanico,2026-02-19T20:41:12.839945+00:00
B0CSYQWWTZ,"12,12 €
12
,
12€",,ES,teclado mecanico,2026-02-19T20:41:12.860886+00:00
B0CJVHZP1W,"94,65 €
94
,
65€",,ES,teclado mecanico,2026-02-19T20:41:12.889639+00:00
B0FCLXFQT5,"59,99 €
59
,
99€",,ES,teclado mecanico,2026-02-19T20:41:12.913204+00:00
B07W7KMK4W,"47,99 €
47
,
99€",,ES,teclado mecanico,2026-02-19T20:41:12.946720+00:00
B0FSLT33D3,"61,38 €
61
,
38€",,ES,teclado mecanico,2026-02-19T20:41:12.965315+00:00
B09L57Z1V3,"24,90 €
24
,
90€",,ES,teclado mecanico,2026-02-19T20:41:12.982542+00:00
B09NQHF99G,"136,43 €
136
,
43€",,ES,teclado mecanico,2026-02-19T20:41:13.016566+00:00
B0B4VZW3BY,"28,25 €
28
,
25€",,ES,teclado mecanico,2026-02-19T20:41:13.033905+00:00
B01L6L44NU,"54,99 €
54
,
99€",,ES,teclado mecanico,2026-02-19T20:41:13.053226+00:00
B08DDDVWWW,"19,99 €
19
,
99€",,ES,teclado mecanico,2026-02-19T20:41:13.071160+00:00
B0DFWH9YWK,"39,59 €
39
,
59€",,ES,teclado mecanico,2026-02-19T20:41:13.089331+00:00
B0CQKMKPZW,"42,49 €
42
,
49€",,ES,teclado mecanico,2026-02-19T20:41:13.106096+00:00
