asin,title,price,market,keyword,scraped_at
B0CPM1TB52,"24,99 €
24
,
99€",,FR,clavier qwertz,2026-02-19T20:40:33.890330+00:00
B08KWBVK4Z,"12,44 €
12
,
44€",,FR,clavier qwertz,2026-02-19T20:40:33.907415+00:00
B0D8SM16B5,"22,81 €
22
,
81€",,FR,clavier qwertz,2026-02-19T20:40:33.930940+00:00
B08KWBJCNM,"12,77 €
12
,
77€",,FR,clavier qwertz,2026-02-19T20:40:33.957350+00:00
B003UL1RGC,"19,57 €
19
,
57€",,FR,clavier qwertz,2026-02-19T20:40:33.989902+00:00
B07GXXC451,"22,99 €
22
,
99€",,FR,clavier qwertz,2026-02-19T20:40:34.015410+00:00
B0B4W52FN5,"34,99 €
34
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.674120+00:00
B07YG1VBGW,"38,00 €
38
,
00€",,FR,clavier mecanique,2026-02-19T20:40:38.693534+00:00
B0FX988W28,"129,99 €
129
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.708368+00:00
B0DL7GP7HD,"66,95 €
66
,
95€",,FR,clavier mecanique,2026-02-19T20:40:38.730272+00:00
B0DNMVC7SP,"29,99 €
29
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.756140+00:00
B0FSLT33D3,"44,90 €
44
,
90€",,FR,clavier mecanique,2026-02-19T20:40:38.777011+00:00
B0BHGSRTDD,"29,99 €
29
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.792104+00:00
B0G4LZJ3XM,"59,39 €
59
,
39€",,FR,clavier mecanique,2026-02-19T20:40:38.807273+00:00
B0DWMX5TXV,"79,99 €
79
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.826412+00:00
B0FJ7Z9KGH,"33,99 €
33
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.841669+00:00
B0BG2V7MGP,"27,99 €
27
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.857375+00:00
B08Y613KGH,"64,95 €
64
,
95€",,FR,clavier mecanique,2026-02-19T20:40:38.873541+00:00
B0CRD5G38M,"49,99 €
49
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.892195+00:00
B09NQY2Y8R,"39,99 €
39
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.926899+00:00
B0D3GZYN1P,"72,99 €
72
,
99€",,FR,clavier mecanique,2026-02-19T20:40:38.943112+00:00
B07HCZNWYT,N/A,,FR,clavier layout allemand,2026-02-19T20:40:43.660134+00:00
B07DKJKM4T,"29,99 €
29
,
99€",,FR,clavier layout allemand,2026-02-19T20:40:43.711543+00:00
B09N9CY637,"35,99 €
35
,
99€",,FR,clavier layout allemand,2026-02-19T20:40:43.740956+00:00
B0CBMPXG9B,N/A,,FR,clavier layout allemand,2026-02-19T20:40:43.756498+00:00
